Time to vote:3010.43ms
i:580 p:3589 n:727 a:20
i:581 p:3589 n:773 a:20
i:582 p:3330 n:534 a:20
i:583 p:3578 n:783 a:21
i:584 p:3578 n:744 a:21
i:585 p:639 n:230 a:4
i:586 p:3493 n:467 a:21
i:587 p:1773 n:227 a:1
i:588 p:3623 n:286 a:5
i:589 p:3623 n:423 a:5
i:590 p:3622 n:1062 a:13
i:591 p:3622 n:629 a:14
i:592 p:3622 n:854 a:14
i:593 p:3622 n:1125 a:14
i:594 p:3622 n:706 a:14
i:595 p:3602 n:1060 a:11
i:596 p:3616 n:860 a:13
i:597 p:3616 n:724 a:13
i:598 p:1827 n:400 a:4
i:599 p:1959 n:453 a:5
i:600 p:3589 n:725 a:20
i:601 p:3589 n:709 a:20
i:602 p:3578 n:806 a:21
i:603 p:3589 n:701 a:20
i:604 p:3578 n:724 a:21
i:605 p:3578 n:738 a:21
i:606 p:654 n:290 a:0
i:607 p:3589 n:630 a:20
i:608 p:3578 n:793 a:21
i:609 p:3622 n:758 a:6
i:610 p:234 n:363 a:26
i:611 p:3587 n:590 a:27
i:612 p:3587 n:501 a:27
i:613 p:3588 n:325 a:0
i:614 p:2015 n:287 a:2
i:615 p:2015 n:266 a:2
i:616 p:3595 n:744 a:9
i:617 p:3622 n:1204 a:14
i:618 p:3578 n:749 a:21
i:619 p:1595 n:307 a:20
i:620 p:1595 n:281 a:20
i:621 p:3587 n:371 a:27
i:622 p:3587 n:611 a:27
i:623 p:3587 n:646 a:27
i:624 p:3622 n:912 a:22
i:625 p:3622 n:898 a:22
i:626 p:3622 n:493 a:22
i:627 p:3622 n:889 a:22
i:628 p:1893 n:306 a:11
i:629 p:3622 n:404 a:22
i:630 p:3622 n:358 a:22
i:631 p:3588 n:295 a:15
i:632 p:3339 n:323 a:17
i:633 p:3339 n:363 a:17
i:634 p:3588 n:279 a:15
i:635 p:3304 n:331 a:16
i:636 p:3587 n:449 a:12
i:637 p:3587 n:515 a:12
i:638 p:3587 n:497 a:12
i:639 p:3622 n:617 a:21
i:640 p:3622 n:720 a:21
i:641 p:3420 n:467 a:17
i:642 p:2137 n:579 a:7
i:643 p:2137 n:616 a:7
i:644 p:2137 n:549 a:7
i:645 p:3232 n:546 a:25
i:646 p:1827 n:563 a:0
i:647 p:2107 n:517 a:7
i:648 p:1638 n:563 a:26
i:649 p:1638 n:636 a:26
i:650 p:1793 n:357 a:4
i:651 p:1827 n:318 a:1

